datetime,symbol,open,high,low,close,volume
2025-07-30 15:00:00,SET:BANK,406.96,407.58,406.07,406.96,0.0
2025-07-30 16:00:00,SET:BANK,406.81,407.86,406.55,406.79,0.0
2025-07-31 09:00:00,SET:BANK,406.44,406.9,406.26,406.3,0.0
2025-07-31 10:00:00,SET:BANK,406.1,407.52,404.86,407.52,0.0
2025-07-31 11:00:00,SET:BANK,406.72,408.16,406.58,407.45,0.0
2025-07-31 12:00:00,SET:BANK,407.74,407.78,406.47,407.57,0.0
2025-07-31 13:00:00,SET:BANK,407.7,407.79,407.06,407.15,0.0
2025-07-31 14:00:00,SET:BANK,406.91,409.12,406.91,408.28,0.0
2025-07-31 15:00:00,SET:BANK,408.63,409.14,407.66,408.16,0.0
2025-07-31 16:00:00,SET:BANK,408.12,409.34,408.12,409.34,0.0
2025-08-01 09:00:00,SET:BANK,409.64,409.84,409.64,409.84,0.0
2025-08-01 10:00:00,SET:BANK,410.24,410.68,408.29,409.66,0.0
2025-08-01 11:00:00,SET:BANK,409.17,410.62,408.44,409.97,0.0
2025-08-01 12:00:00,SET:BANK,409.93,410.45,409.28,409.38,0.0
2025-08-01 13:00:00,SET:BANK,409.76,410.55,409.19,409.98,0.0
2025-08-01 14:00:00,SET:BANK,409.73,410.09,408.51,409.02,0.0
2025-08-01 15:00:00,SET:BANK,408.67,409.85,406.22,406.52,0.0
2025-08-01 16:00:00,SET:BANK,406.81,407.35,405.54,406.8,0.0
2025-08-04 09:00:00,SET:BANK,408.07,408.47,407.92,407.92,0.0
2025-08-04 10:00:00,SET:BANK,407.88,407.88,405.22,406.38,0.0
2025-08-04 11:00:00,SET:BANK,406.82,407.3,405.77,406.84,0.0
2025-08-04 12:00:00,SET:BANK,407.09,407.09,405.75,406.46,0.0
2025-08-04 13:00:00,SET:BANK,406.26,406.98,406.25,406.25,0.0
2025-08-04 14:00:00,SET:BANK,406.59,408.73,405.86,408.2,0.0
2025-08-04 15:00:00,SET:BANK,408.4,408.58,407.07,408.04,0.0
2025-08-04 16:00:00,SET:BANK,407.6,409.34,407.24,409.34,0.0
2025-08-05 09:00:00,SET:BANK,409.24,410.01,409.24,409.81,0.0
2025-08-05 10:00:00,SET:BANK,409.87,413.45,409.29,412.34,0.0
2025-08-05 11:00:00,SET:BANK,411.45,412.38,410.76,411.36,0.0
2025-08-05 12:00:00,SET:BANK,411.55,412.57,411.24,411.4,0.0
2025-08-05 13:00:00,SET:BANK,412.13,412.13,411.6,411.8,0.0
2025-08-05 14:00:00,SET:BANK,411.5,413.13,411.1,412.26,0.0
2025-08-05 15:00:00,SET:BANK,412.1,412.84,411.59,411.94,0.0
2025-08-05 16:00:00,SET:BANK,411.88,412.74,411.34,412.74,0.0
2025-08-06 09:00:00,SET:BANK,414.57,415.04,414.57,415.04,0.0
2025-08-06 10:00:00,SET:BANK,414.91,417.85,414.02,415.9,0.0
2025-08-06 11:00:00,SET:BANK,415.41,417.87,414.86,417.72,0.0
2025-08-06 12:00:00,SET:BANK,417.29,418.5,417.14,417.54,0.0
2025-08-06 13:00:00,SET:BANK,417.74,417.74,417.55,417.6,0.0
2025-08-06 14:00:00,SET:BANK,417.31,418.43,416.57,417.78,0.0
2025-08-06 15:00:00,SET:BANK,417.98,418.5,416.14,417.49,0.0
2025-08-06 16:00:00,SET:BANK,417.25,418.32,417.04,417.62,0.0
2025-08-07 09:00:00,SET:BANK,419.17,420.3,418.58,420.3,0.0
2025-08-07 10:00:00,SET:BANK,420.73,425.06,420.73,424.46,0.0
2025-08-07 11:00:00,SET:BANK,424.52,425.19,421.96,422.57,0.0
2025-08-07 12:00:00,SET:BANK,422.37,423.05,421.66,421.95,0.0
2025-08-07 13:00:00,SET:BANK,421.76,422.16,421.76,422.16,0.0
2025-08-07 14:00:00,SET:BANK,421.82,421.82,419.31,419.9,0.0
2025-08-07 15:00:00,SET:BANK,420.2,420.6,418.25,418.41,0.0
2025-08-07 16:00:00,SET:BANK,418.7,420.26,418.31,419.4,0.0
2025-08-08 09:00:00,SET:BANK,419.06,420.24,418.76,420.24,0.0
2025-08-08 10:00:00,SET:BANK,420.28,424.75,419.88,423.99,0.0
2025-08-08 11:00:00,SET:BANK,423.66,424.38,423.0,423.92,0.0
2025-08-08 12:00:00,SET:BANK,423.58,424.65,423.2,423.73,0.0
2025-08-08 13:00:00,SET:BANK,422.91,423.09,422.22,422.22,0.0
2025-08-08 14:00:00,SET:BANK,422.85,424.7,422.46,423.77,0.0
2025-08-08 15:00:00,SET:BANK,422.97,424.21,422.82,423.83,0.0
2025-08-08 16:00:00,SET:BANK,423.52,424.61,423.21,424.61,0.0
2025-08-13 09:00:00,SET:BANK,426.59,428.9,426.59,428.9,0.0
2025-08-13 10:00:00,SET:BANK,428.89,430.95,427.4,429.04,0.0
2025-08-13 11:00:00,SET:BANK,429.58,430.96,429.17,430.18,0.0
2025-08-13 12:00:00,SET:BANK,429.73,430.17,427.15,427.95,0.0
2025-08-13 13:00:00,SET:BANK,427.47,428.15,427.12,428.15,0.0
2025-08-13 14:00:00,SET:BANK,427.94,428.87,425.41,428.43,0.0
2025-08-13 15:00:00,SET:BANK,428.64,429.34,427.67,428.84,0.0
2025-08-13 16:00:00,SET:BANK,428.31,428.99,427.21,428.86,0.0
2025-08-14 09:00:00,SET:BANK,427.39,428.35,426.75,427.41,0.0
2025-08-14 10:00:00,SET:BANK,427.16,428.12,425.61,426.81,0.0
