datetime,symbol,open,high,low,close,volume
2025-08-01 16:00:00,SET:CONS,30.5,30.59,30.3,30.3,0.0
2025-08-04 09:00:00,SET:CONS,30.38,30.38,30.32,30.32,0.0
2025-08-04 10:00:00,SET:CONS,30.3,30.37,30.01,30.18,0.0
2025-08-04 11:00:00,SET:CONS,30.1,30.21,29.96,29.96,0.0
2025-08-04 12:00:00,SET:CONS,30.04,30.07,29.84,30.0,0.0
2025-08-04 13:00:00,SET:CONS,29.92,29.93,29.92,29.93,0.0
2025-08-04 14:00:00,SET:CONS,29.92,30.23,29.87,30.18,0.0
2025-08-04 15:00:00,SET:CONS,30.16,30.29,30.07,30.2,0.0
2025-08-04 16:00:00,SET:CONS,30.21,30.34,30.11,30.22,0.0
2025-08-05 09:00:00,SET:CONS,30.28,30.32,30.28,30.32,0.0
2025-08-05 10:00:00,SET:CONS,30.36,30.55,30.34,30.49,0.0
2025-08-05 11:00:00,SET:CONS,30.59,30.79,30.55,30.69,0.0
2025-08-05 12:00:00,SET:CONS,30.7,30.7,30.61,30.69,0.0
2025-08-05 13:00:00,SET:CONS,30.59,30.59,30.59,30.59,0.0
2025-08-05 14:00:00,SET:CONS,30.66,30.87,30.61,30.79,0.0
2025-08-05 15:00:00,SET:CONS,30.78,30.97,30.74,30.82,0.0
2025-08-05 16:00:00,SET:CONS,30.76,30.88,30.6,30.6,0.0
2025-08-06 09:00:00,SET:CONS,30.79,30.79,30.79,30.79,0.0
2025-08-06 10:00:00,SET:CONS,30.86,31.06,30.66,30.91,0.0
2025-08-06 11:00:00,SET:CONS,30.93,31.04,30.86,31.04,0.0
2025-08-06 12:00:00,SET:CONS,30.97,31.08,30.83,31.05,0.0
2025-08-06 13:00:00,SET:CONS,30.94,30.94,30.94,30.94,0.0
2025-08-06 14:00:00,SET:CONS,30.96,31.12,30.91,31.09,0.0
2025-08-06 15:00:00,SET:CONS,31.11,31.11,30.73,30.82,0.0
2025-08-06 16:00:00,SET:CONS,30.81,31.16,30.81,30.98,0.0
2025-08-07 09:00:00,SET:CONS,31.16,31.16,31.16,31.16,0.0
2025-08-07 10:00:00,SET:CONS,31.17,31.29,30.98,31.28,0.0
2025-08-07 11:00:00,SET:CONS,31.29,31.41,31.16,31.39,0.0
2025-08-07 12:00:00,SET:CONS,31.37,31.49,31.3,31.4,0.0
2025-08-07 13:00:00,SET:CONS,31.38,31.4,31.38,31.4,0.0
2025-08-07 14:00:00,SET:CONS,31.41,31.44,31.17,31.21,0.0
2025-08-07 15:00:00,SET:CONS,31.2,31.48,31.13,31.3,0.0
2025-08-07 16:00:00,SET:CONS,31.31,31.47,31.24,31.29,0.0
2025-08-08 09:00:00,SET:CONS,31.49,31.55,31.49,31.53,0.0
2025-08-08 10:00:00,SET:CONS,31.54,31.55,31.31,31.4,0.0
2025-08-08 11:00:00,SET:CONS,31.41,31.43,31.27,31.32,0.0
2025-08-08 12:00:00,SET:CONS,31.23,31.34,31.22,31.34,0.0
2025-08-08 13:00:00,SET:CONS,31.33,31.33,31.3,31.3,0.0
2025-08-08 14:00:00,SET:CONS,31.37,31.37,31.18,31.18,0.0
2025-08-08 15:00:00,SET:CONS,31.17,31.27,31.1,31.14,0.0
2025-08-08 16:00:00,SET:CONS,31.18,31.46,31.18,31.23,0.0
2025-08-13 09:00:00,SET:CONS,31.46,31.46,31.37,31.38,0.0
2025-08-13 10:00:00,SET:CONS,31.4,31.7,31.36,31.59,0.0
2025-08-13 11:00:00,SET:CONS,31.58,31.63,31.49,31.56,0.0
2025-08-13 12:00:00,SET:CONS,31.6,31.67,31.56,31.58,0.0
2025-08-13 13:00:00,SET:CONS,31.5,31.51,31.5,31.5,0.0
2025-08-13 14:00:00,SET:CONS,31.51,31.6,31.38,31.51,0.0
2025-08-13 15:00:00,SET:CONS,31.52,31.8,31.52,31.64,0.0
2025-08-13 16:00:00,SET:CONS,31.71,31.79,31.55,31.55,0.0
2025-08-14 09:00:00,SET:CONS,31.69,31.79,31.68,31.79,0.0
2025-08-14 10:00:00,SET:CONS,31.8,31.87,31.15,31.23,0.0
2025-08-14 11:00:00,SET:CONS,31.37,31.39,30.95,31.09,0.0
2025-08-14 12:00:00,SET:CONS,31.1,31.17,30.75,30.75,0.0
2025-08-14 13:00:00,SET:CONS,30.81,30.88,30.81,30.88,0.0
2025-08-14 14:00:00,SET:CONS,30.87,31.03,30.82,31.03,0.0
