datetime,symbol,open,high,low,close,volume
2025-07-31 15:00:00,SET:MEDIA,22.18,22.39,22.16,22.21,0.0
2025-07-31 16:00:00,SET:MEDIA,22.2,22.22,22.05,22.09,0.0
2025-08-01 09:00:00,SET:MEDIA,22.12,22.17,22.12,22.17,0.0
2025-08-01 10:00:00,SET:MEDIA,22.18,22.27,22.04,22.19,0.0
2025-08-01 11:00:00,SET:MEDIA,22.11,22.33,22.1,22.23,0.0
2025-08-01 12:00:00,SET:MEDIA,22.31,22.31,22.11,22.11,0.0
2025-08-01 13:00:00,SET:MEDIA,22.1,22.1,22.05,22.05,0.0
2025-08-01 14:00:00,SET:MEDIA,22.14,22.2,21.99,21.99,0.0
2025-08-01 15:00:00,SET:MEDIA,22.07,22.08,21.8,21.88,0.0
2025-08-01 16:00:00,SET:MEDIA,21.92,21.93,21.73,21.73,0.0
2025-08-04 09:00:00,SET:MEDIA,21.81,21.81,21.61,21.61,0.0
2025-08-04 10:00:00,SET:MEDIA,21.62,21.74,21.46,21.66,0.0
2025-08-04 11:00:00,SET:MEDIA,21.65,21.72,21.52,21.6,0.0
2025-08-04 12:00:00,SET:MEDIA,21.65,21.65,21.52,21.61,0.0
2025-08-04 13:00:00,SET:MEDIA,21.59,21.59,21.54,21.59,0.0
2025-08-04 14:00:00,SET:MEDIA,21.6,21.82,21.59,21.71,0.0
2025-08-04 15:00:00,SET:MEDIA,21.72,21.79,21.63,21.66,0.0
2025-08-04 16:00:00,SET:MEDIA,21.7,21.8,21.64,21.69,0.0
2025-08-05 09:00:00,SET:MEDIA,21.79,21.79,21.79,21.79,0.0
2025-08-05 10:00:00,SET:MEDIA,21.8,21.87,21.66,21.85,0.0
2025-08-05 11:00:00,SET:MEDIA,21.84,21.95,21.74,21.89,0.0
2025-08-05 12:00:00,SET:MEDIA,21.9,21.91,21.77,21.82,0.0
2025-08-05 13:00:00,SET:MEDIA,21.9,21.91,21.9,21.9,0.0
2025-08-05 14:00:00,SET:MEDIA,21.83,21.96,21.77,21.87,0.0
