datetime,symbol,open,high,low,close,volume
2025-07-25 04:00:00,SET:STEEL,19.48,19.54,19.46,19.47,0.0
2025-07-25 05:00:00,SET:STEEL,19.46,19.61,19.46,19.56,0.0
2025-07-25 07:00:00,SET:STEEL,19.61,19.61,19.39,19.44,0.0
2025-07-25 08:00:00,SET:STEEL,19.45,19.55,19.38,19.4,0.0
2025-07-25 09:00:00,SET:STEEL,19.41,19.58,19.41,19.57,0.0
2025-07-29 02:00:00,SET:STEEL,19.55,19.55,19.54,19.54,0.0
2025-07-29 03:00:00,SET:STEEL,19.56,19.56,19.29,19.33,0.0
2025-07-29 04:00:00,SET:STEEL,19.32,19.42,19.32,19.36,0.0
2025-07-29 05:00:00,SET:STEEL,19.41,19.41,19.32,19.38,0.0
2025-07-29 06:00:00,SET:STEEL,19.4,19.4,19.4,19.4,0.0
2025-07-29 07:00:00,SET:STEEL,19.39,19.49,19.39,19.43,0.0
2025-07-29 08:00:00,SET:STEEL,19.5,19.54,19.37,19.45,0.0
2025-07-29 09:00:00,SET:STEEL,19.5,19.57,19.42,19.48,0.0
2025-07-30 02:00:00,SET:STEEL,19.65,19.65,19.65,19.65,0.0
2025-07-30 03:00:00,SET:STEEL,19.62,19.72,19.45,19.52,0.0
2025-07-30 04:00:00,SET:STEEL,19.51,19.55,19.43,19.48,0.0
2025-07-30 05:00:00,SET:STEEL,19.5,19.61,19.5,19.51,0.0
2025-07-30 06:00:00,SET:STEEL,19.55,19.55,19.55,19.55,0.0
2025-07-30 07:00:00,SET:STEEL,19.54,19.55,19.45,19.55,0.0
2025-07-30 08:00:00,SET:STEEL,19.54,19.56,19.46,19.56,0.0
2025-07-30 09:00:00,SET:STEEL,19.58,19.58,19.5,19.53,0.0
2025-07-31 02:00:00,SET:STEEL,19.45,19.55,19.45,19.55,0.0
2025-07-31 03:00:00,SET:STEEL,19.5,19.55,19.44,19.51,0.0
2025-07-31 04:00:00,SET:STEEL,19.48,19.6,19.44,19.55,0.0
2025-07-31 05:00:00,SET:STEEL,19.54,19.56,19.5,19.5,0.0
2025-07-31 07:00:00,SET:STEEL,19.52,19.57,19.47,19.54,0.0
2025-07-31 08:00:00,SET:STEEL,19.53,19.62,19.53,19.58,0.0
2025-07-31 09:00:00,SET:STEEL,19.57,19.62,19.56,19.58,0.0
2025-08-01 02:00:00,SET:STEEL,19.8,19.8,19.8,19.8,0.0
2025-08-01 03:00:00,SET:STEEL,19.82,19.82,19.57,19.61,0.0
2025-08-01 04:00:00,SET:STEEL,19.62,19.67,19.6,19.66,0.0
2025-08-01 05:00:00,SET:STEEL,19.61,19.67,19.59,19.64,0.0
2025-08-01 06:00:00,SET:STEEL,19.66,19.66,19.65,19.65,0.0
2025-08-01 07:00:00,SET:STEEL,19.6,19.63,19.49,19.6,0.0
2025-08-01 08:00:00,SET:STEEL,19.55,19.56,19.44,19.53,0.0
