datetime,symbol,open,high,low,close,volume
2025-07-31 09:00:00,SET:TRANS,213.11,214.2,213.11,214.05,0.0
2025-07-31 10:00:00,SET:TRANS,214.13,214.13,207.66,210.38,0.0
2025-07-31 11:00:00,SET:TRANS,210.36,211.54,209.57,210.71,0.0
2025-07-31 12:00:00,SET:TRANS,210.73,210.79,209.62,210.72,0.0
2025-07-31 13:00:00,SET:TRANS,210.43,210.45,210.26,210.36,0.0
2025-07-31 14:00:00,SET:TRANS,210.41,211.51,209.51,210.57,0.0
2025-07-31 15:00:00,SET:TRANS,209.77,210.64,209.52,210.28,0.0
2025-07-31 16:00:00,SET:TRANS,210.35,210.57,209.39,209.39,0.0
2025-08-01 09:00:00,SET:TRANS,210.73,211.49,210.73,211.49,0.0
2025-08-01 10:00:00,SET:TRANS,211.75,211.75,206.68,206.74,0.0
2025-08-01 11:00:00,SET:TRANS,206.91,208.0,206.62,206.65,0.0
2025-08-01 12:00:00,SET:TRANS,206.72,207.68,205.71,206.8,0.0
2025-08-01 13:00:00,SET:TRANS,205.77,206.78,205.77,206.56,0.0
2025-08-01 14:00:00,SET:TRANS,205.78,206.73,205.34,206.3,0.0
2025-08-01 15:00:00,SET:TRANS,205.51,206.48,204.07,204.25,0.0
2025-08-01 16:00:00,SET:TRANS,205.09,205.15,202.93,203.94,0.0
2025-08-04 09:00:00,SET:TRANS,203.92,204.77,203.92,204.47,0.0
2025-08-04 10:00:00,SET:TRANS,204.46,204.46,200.7,203.67,0.0
2025-08-04 11:00:00,SET:TRANS,203.7,203.7,202.47,203.52,0.0
2025-08-04 12:00:00,SET:TRANS,202.68,204.59,202.53,202.84,0.0
2025-08-04 13:00:00,SET:TRANS,202.86,203.77,202.11,203.7,0.0
2025-08-04 14:00:00,SET:TRANS,202.94,204.85,202.71,204.85,0.0
2025-08-04 15:00:00,SET:TRANS,204.63,204.89,202.75,203.71,0.0
2025-08-04 16:00:00,SET:TRANS,203.75,203.88,202.75,203.84,0.0
2025-08-05 09:00:00,SET:TRANS,203.0,205.05,203.0,205.05,0.0
2025-08-05 10:00:00,SET:TRANS,205.59,206.77,202.78,203.47,0.0
2025-08-05 11:00:00,SET:TRANS,204.06,206.47,203.44,206.46,0.0
